Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[-3. 28.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00051065435+0j),0.0,1.6768761,1.1071488,1.4647167,-2.0344439
[[-24. -14.  10.]],[[-3. 29.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0005012962+0j),0.0,1.6749034,1.1164943,1.4666893,-2.0250983
[[-24. -14.  10.]],[[-3. 30.  5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0004922314+0j),0.0,1.6729939,1.1254953,1.4685988,-2.0160975
[[-24. -14.  10.]],[[-3. 31.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.00048344873+0j),0.0,1.6711453,1.1341692,1.4704474,-2.0074234
[[-24. -14.  10.]],[[-3. 32.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0004749378+0j),0.0,1.6693553,1.1425322,1.4722375,-1.9990605
[[-24. -14.  10.]],[[-3. 33.  5.]],[[1 1 1 1 1 1 1]],0,0,(6.192719e-05+1.7888051e-05j),0.0042971208813469275,1.7943524,1.2055634,1.7943523,1.9360292
[[-24. -14.  10.]],[[ -2. -34.   5.]],[],1,0,0,0,0,0,0,0
[[-24. -14.  10.]],[[ -2. -33.   5.]],[],1,0,0,0,0,0,0,0
[[-24. -14.  10.]],[[ -2. -32.   5.]],[],1,0,0,0,0,0,0,0
[[-24. -14.  10.]],[[ -2. -31.   5.]],[],1,0,0,0,0,0,0,0
[[-24. -14.  10.]],[[ -2. -30.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0008623471+0j),0.0,1.7525713,-0.62879634,1.3890214,2.5127964
[[-24. -14.  10.]],[[ -2. -29.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0008797408+0j),0.0,1.756414,-0.59841883,1.3851787,2.5431738
[[-24. -14.  10.]],[[ -2. -28.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.000897001+0j),0.0,1.7602385,-0.5667292,1.3813542,2.5748634
[[-24. -14.  10.]],[[ -2. -27.   5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00091401755+0j),0.0,1.7640206,-0.5337082,1.3775722,2.6078844
[[-24. -14.  10.]],[[ -2. -26.   5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.0009306669+0j),0.0,1.7677323,-0.49934673,1.3738605,2.642246
[[-24. -14.  10.]],[[ -2. -25.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00094681414+0j),0.0,1.771343,-0.4636476,1.3702497,2.6779451
[[-24. -14.  10.]],[[ -2. -24.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00096231396+0j),0.0,1.7748193,-0.42662752,1.3667735,2.7149653
[[-24. -14.  10.]],[[ -2. -23.   5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.000977012+0j),0.0,1.7781254,-0.38831872,1.3634673,2.753274
[[-24. -14.  10.]],[[ -2. -22.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0009907482+0j),0.0,1.7812239,-0.34877098,1.3603688,2.792822
[[-24. -14.  10.]],[[ -2. -21.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(-2.3842611e-05+2.6174207e-06j),0.46647670615129755,1.5995847,-0.93261117,1.5420077,0.9326112
[[-24. -14.  10.]],[[ -2. -20.   5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010146888+0j),0.0,1.7866452,-0.26625204,1.3549476,2.8753407
[[-24. -14.  10.]],[[ -2. -19.   5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.0010245786+0j),0.0,1.7888926,-0.2234766,1.3527001,2.918116
[[-24. -14.  10.]],[[ -2. -18.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010328883+0j),0.0,1.7907845,-0.17985351,1.3508083,2.9617393
[[-24. -14.  10.]],[[ -2. -17.   5.]],[[0 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010394924+0j),0.0,1.7922904,-0.13552772,1.3493023,3.0060651
[[-24. -14.  10.]],[[ -2. -16.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010442877+0j),0.0,1.7933855,-0.090659894,1.3482072,3.050933
[[-24. -14.  10.]],[[ -2. -15.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010471968+0j),0.0,1.7940502,-0.045423277,1.3475425,3.0961695
[[-24. -14.  10.]],[[ -2. -14.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010481721+0j),0.0,1.7942731,0.0,1.3473196,-3.1415927
[[-24. -14.  10.]],[[ -2. -13.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010471968+0j),0.0,1.7940502,0.045423277,1.3475425,-3.0961695
[[-24. -14.  10.]],[[ -2. -12.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010442877+0j),0.0,1.7933855,0.090659894,1.3482072,-3.050933
[[-24. -14.  10.]],[[ -2. -11.   5.]],[[1 1 1 1 1 1 1 1 1 1]],0,0,(1.0056549e-06+9.199395e-07j),0.04955075638690687,1.889662,3.0674362,1.8896618,-3.067436
[[-24. -14.  10.]],[[ -2. -10.   5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.0010328883+0j),0.0,1.7907845,0.17985351,1.3508083,-2.9617393
[[-24. -14.  10.]],[[-2. -9.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010245786+0j),0.0,1.7888926,0.2234766,1.3527001,-2.918116
[[-24. -14.  10.]],[[-2. -8.  5.]],[[1 1 1 1 1 1 1 1 1 1 1]],0,0,(3.414544e-05+9.847654e-06j),0.005664460900334234,1.8649784,-1.0487881,1.8649784,-2.092805
[[-24. -14.  10.]],[[-2. -7.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0010033606+0j),0.0,1.7840766,0.30805278,1.3575162,-2.83354
[[-24. -14.  10.]],[[-2. -6.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0009907482+0j),0.0,1.7812239,0.34877098,1.3603688,-2.792822
[[-24. -14.  10.]],[[-2. -5.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.000977012+0j),0.0,1.7781254,0.38831872,1.3634673,-2.753274
[[-24. -14.  10.]],[[-2. -4.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00096231385+0j),0.0,1.7748193,0.42662752,1.3667735,-2.7149653
[[-24. -14.  10.]],[[-2. -3.  5.]],[[1 1 1 1 1 1 1 1 1 1 1]],1,0,(4.181096e-07+1.061506e-06j),0.005955342885499704,1.8799571,2.8756385,1.8799566,-2.8756385
[[-24. -14.  10.]],[[-2. -2.  5.]],[[0 1 1 1 1 1 1 1 1]],1,0,(0.0009306669+0j),0.0,1.7677323,0.49934673,1.3738605,-2.642246
[[-24. -14.  10.]],[[-2. -1.  5.]],[[1 1 1 1 1 1 1 1 1]],1,0,(-7.719941e-06-0.00010811123j),0.0,2.0527658,0.5337082,2.0527658,-2.6078846
[[-24. -14.  10.]],[[-2.  0.  5.]],[[1 1 1 1 1 1 1 1]],1,0,(-1.2980069e-05-0.00010684027j),0.0,2.0444937,0.56672925,2.0444937,-2.5748634
